lambda_1,lambda_2,lambda_3,objective_value,build_locations,supply_data
0.1,0.1,0.1,0.0,[],0
0.1,0.1,0.25,0.0,[],0
0.1,0.1,0.5,0.0,[],0
0.1,0.1,0.75,0.0,[],0
0.1,0.1,1.0,0.0,[],0
0.1,0.25,0.1,0.0,[],0
0.1,0.25,0.25,0.0,[],0
0.1,0.25,0.5,0.0,[],0
0.1,0.25,0.75,0.0,[],0
0.1,0.25,1.0,0.0,[],0
0.1,0.5,0.1,0.0,[],0
0.1,0.5,0.25,0.0,[],0
0.1,0.5,0.5,0.0,[],0
0.1,0.5,0.75,0.0,[],0
0.1,0.5,1.0,0.0,[],0
0.1,0.75,0.1,0.0,[],0
0.1,0.75,0.25,0.0,[],0
0.1,0.75,0.5,0.0,[],0
0.1,0.75,0.75,0.0,[],0
0.1,0.75,1.0,0.0,[],0
0.1,1.0,0.1,0.0,[],0
0.1,1.0,0.25,0.0,[],0
0.1,1.0,0.5,0.0,[],0
0.1,1.0,0.75,0.0,[],0
0.1,1.0,1.0,0.0,[],0
0.25,0.1,0.1,0.11064113234689177,[1700378],1
0.25,0.1,0.25,0.0,[],0
0.25,0.1,0.5,0.0,[],0
0.25,0.1,0.75,0.0,[],0
0.25,0.1,1.0,0.0,[],0
0.25,0.25,0.1,0.051602830867229416,[1700378],1
0.25,0.25,0.25,0.0,[],0
0.25,0.25,0.5,0.0,[],0
0.25,0.25,0.75,0.0,[],0
0.25,0.25,1.0,0.0,[],0
0.25,0.5,0.1,0.0,[],0
0.25,0.5,0.25,0.0,[],0
0.25,0.5,0.5,0.0,[],0
0.25,0.5,0.75,0.0,[],0
0.25,0.5,1.0,0.0,[],0
0.25,0.75,0.1,0.0,[],0
0.25,0.75,0.25,0.0,[],0
0.25,0.75,0.5,0.0,[],0
0.25,0.75,0.75,0.0,[],0
0.25,0.75,1.0,0.0,[],0
0.25,1.0,0.1,0.0,[],0
0.25,1.0,0.25,0.0,[],0
0.25,1.0,0.5,0.0,[],0
0.25,1.0,0.75,0.0,[],0
0.25,1.0,1.0,0.0,[],0
0.5,0.1,0.1,0.43410250321300137,"[1700378, 1700401, 1700402]",3
0.5,0.1,0.25,0.21064113234689175,[1700378],1
0.5,0.1,0.5,0.0,[],0
0.5,0.1,0.75,0.0,[],0
0.5,0.1,1.0,0.0,[],0
0.5,0.25,0.1,0.35063023345418565,"[1700378, 1700401]",2
0.5,0.25,0.25,0.15160283086722942,[1700378],1
0.5,0.25,0.5,0.0,[],0
0.5,0.25,0.75,0.0,[],0
0.5,0.25,1.0,0.0,[],0
0.5,0.5,0.1,0.21583178190837113,"[1700378, 1700401]",2
0.5,0.5,0.25,0.05320566173445884,[1700378],1
0.5,0.5,0.5,0.0,[],0
0.5,0.5,0.75,0.0,[],0
0.5,0.5,1.0,0.0,[],0
0.5,0.75,0.1,0.10480849260168826,[1700378],1
0.5,0.75,0.25,0.0,[],0
0.5,0.75,0.5,0.0,[],0
0.5,0.75,0.75,0.0,[],0
0.5,0.75,1.0,0.0,[],0
0.5,1.0,0.1,0.006411323468917679,[1700378],1
0.5,1.0,0.25,0.0,[],0
0.5,1.0,0.5,0.0,[],0
0.5,1.0,0.75,0.0,[],0
