,LSOA21CD,LAT,LONG,curtailment_risk
0,E01000001,51.51817,-0.09715,5
1,E01000002,51.51883,-0.09197,2
2,E01000003,51.52174,-0.09533,1
3,E01000005,51.51469,-0.07628,1
4,E01000006,51.53875,0.089317,2
5,E01000007,51.54058,0.077763,2
6,E01000008,51.5391,0.068871,5
7,E01000009,51.54026,0.083517,2
8,E01000011,51.54303,0.081077,2
9,E01000012,51.54299,0.073618,4
10,E01000013,51.54368,0.149511,1
11,E01000014,51.5437,0.137945,1
12,E01000015,51.54382,0.155777,2
13,E01000016,51.54866,0.149241,1
14,E01000017,51.54887,0.146481,3
15,E01000018,51.54646,0.152642,5
16,E01000019,51.55822,0.12065,4
17,E01000020,51.55741,0.124882,3
18,E01000021,51.55435,0.116517,4
19,E01000022,51.55413,0.121715,2
20,E01000024,51.55099,0.121958,5
21,E01000025,51.54945,0.117256,3
22,E01000027,51.5909,0.141286,1
23,E01000028,51.58636,0.130174,3
24,E01000029,51.57978,0.13434,3
25,E01000030,51.58276,0.135663,3
26,E01000031,51.58097,0.143403,4
27,E01000032,51.57483,0.13444,4
28,E01000033,51.5546,0.162042,3
29,E01000034,51.55666,0.172296,4
30,E01000035,51.54915,0.16138,4
31,E01000036,51.54587,0.171148,1
32,E01000037,51.5624,0.17987,4
33,E01000038,51.56309,0.172761,2
34,E01000039,51.55384,0.179173,4
35,E01000040,51.53619,0.097895,5
36,E01000041,51.53803,0.115111,3
37,E01000042,51.53705,0.105462,2
38,E01000043,51.53388,0.09949,1
39,E01000044,51.53616,0.090093,3
40,E01000045,51.53482,0.112554,2
41,E01000046,51.53666,0.119475,1
42,E01000049,51.5305,0.086633,4
43,E01000050,51.53465,0.086,2
44,E01000051,51.53434,0.082266,2
45,E01000052,51.53236,0.094071,1
46,E01000053,51.53297,0.142374,5
47,E01000054,51.53656,0.132347,3
48,E01000055,51.53627,0.126335,2
49,E01000056,51.53437,0.137177,3
50,E01000057,51.53753,0.128499,3
51,E01000058,51.53921,0.135701,5
52,E01000059,51.53692,0.141939,1
53,E01000060,51.55837,0.152728,1
54,E01000061,51.5621,0.155515,1
55,E01000062,51.55426,0.152736,4
56,E01000063,51.55559,0.146162,2
57,E01000064,51.55213,0.156631,1
58,E01000065,51.55292,0.143671,3
59,E01000066,51.54692,0.105687,3
60,E01000067,51.54703,0.100456,5
61,E01000068,51.54312,0.08757,5
62,E01000069,51.54261,0.100757,3
63,E01000070,51.54574,0.092032,4
64,E01000071,51.54038,0.102587,3
65,E01000072,51.54251,0.111208,1
66,E01000073,51.5475,0.113069,2
67,E01000074,51.54546,0.120735,1
68,E01000075,51.5437,0.127849,1
69,E01000076,51.54157,0.12051,2
70,E01000077,51.54962,0.126337,2
71,E01000078,51.55273,0.132165,3
72,E01000079,51.54645,0.138175,4
73,E01000080,51.54803,0.130114,3
74,E01000081,51.55016,0.138724,4
75,E01000082,51.55399,0.138225,3
76,E01000083,51.55361,0.128398,2
77,E01000084,51.53958,0.146073,1
78,E01000085,51.53797,0.150208,3
79,E01000086,51.53731,0.14601,2
80,E01000087,51.53088,0.151071,1
81,E01000088,51.53392,0.155915,4
82,E01000089,51.53045,0.160279,1
83,E01000090,51.52093,0.154581,1
84,E01000091,51.52776,0.109142,5
85,E01000093,51.52963,0.102525,2
86,E01000094,51.52374,0.114363,2
87,E01000095,51.5248,0.138271,5
88,E01000096,51.53067,0.113141,1
89,E01000097,51.56388,0.128748,5
90,E01000098,51.55961,0.127539,4
91,E01000099,51.56317,0.133418,5
92,E01000100,51.55913,0.138784,2
93,E01000101,51.55893,0.144358,1
94,E01000102,51.55791,0.133735,1
95,E01000103,51.534,0.164167,3
96,E01000104,51.53905,0.165473,4
97,E01000105,51.5397,0.153059,5
98,E01000106,51.54,0.159115,5
99,E01000107,51.54225,0.175634,1
100,E01000108,51.54296,0.166582,4
101,E01000110,51.57339,0.145659,2
102,E01000111,51.56892,0.144972,5
103,E01000112,51.57032,0.139266,4
104,E01000113,51.56982,0.133094,3
105,E01000114,51.56444,0.149133,4
106,E01000115,51.63625,-0.14234,1
107,E01000116,51.63361,-0.14665,3
108,E01000117,51.63308,-0.15656,1
109,E01000118,51.63117,-0.1511,3
110,E01000119,51.62991,-0.13493,5
111,E01000120,51.63221,-0.14034,5
112,E01000121,51.62707,-0.14871,5
113,E01000122,51.62441,-0.13725,4
114,E01000123,51.62309,-0.14503,4
115,E01000124,51.61907,-0.14359,3
116,E01000126,51.6017,-0.25141,2
117,E01000127,51.60636,-0.25911,2
118,E01000128,51.60064,-0.25784,5
119,E01000129,51.60299,-0.26367,5
120,E01000130,51.60467,-0.25391,3
121,E01000131,51.59749,-0.25826,5
122,E01000132,51.6084,-0.26016,4
123,E01000133,51.60756,-0.25168,2
124,E01000134,51.60749,-0.26458,4
125,E01000135,51.56834,-0.19906,3
126,E01000136,51.56634,-0.19097,2
127,E01000137,51.56435,-0.20058,5
128,E01000138,51.56414,-0.20663,3
129,E01000139,51.55843,-0.20336,5
130,E01000140,51.56199,-0.19618,5
131,E01000141,51.56042,-0.21588,2
132,E01000142,51.56211,-0.21076,4
133,E01000143,51.55814,-0.20906,2
134,E01000144,51.57504,-0.19906,3
135,E01000145,51.57278,-0.20492,3
136,E01000146,51.57073,-0.19698,2
137,E01000147,51.58971,-0.24919,4
138,E01000150,51.58531,-0.24451,2
139,E01000151,51.60164,-0.24252,2
140,E01000152,51.60459,-0.24307,1
141,E01000153,51.60401,-0.2476,1
142,E01000154,51.59889,-0.24455,4
143,E01000156,51.60073,-0.14724,1
144,E01000157,51.60185,-0.14512,5
145,E01000158,51.61786,-0.15102,2
146,E01000159,51.61843,-0.15805,5
147,E01000160,51.61294,-0.14465,1
148,E01000161,51.61357,-0.14948,3
149,E01000162,51.61102,-0.15751,1
150,E01000163,51.60771,-0.14515,5
151,E01000164,51.60609,-0.15359,3
152,E01000165,51.60965,-0.15044,4
153,E01000166,51.65405,-0.15945,5
154,E01000167,51.65513,-0.16807,1
155,E01000168,51.6487,-0.15514,1
156,E01000169,51.65025,-0.16446,2
157,E01000170,51.64626,-0.16318,5
158,E01000171,51.64882,-0.17084,1
159,E01000172,51.64076,-0.14968,5
160,E01000173,51.64208,-0.15732,3
161,E01000174,51.64141,-0.16391,3
162,E01000175,51.63769,-0.15998,3
163,E01000176,51.59539,-0.17889,2
164,E01000177,51.59283,-0.17172,4
165,E01000178,51.59539,-0.16488,1
